,valor
1961-01-01,98.3619210012488
1961-02-01,98.5988376787489
1961-03-01,98.9609206838135
1961-04-01,99.39568080727
1961-05-01,99.8388210074643
1961-06-01,100.250754021703
1961-07-01,100.605272532871
1961-08-01,100.894976473944
1961-09-01,101.105927208421
1961-10-01,101.235511093769
1961-11-01,101.290178883031
1961-12-01,101.257041911747
1962-01-01,101.128282952719
1962-02-01,100.92226023815
1962-03-01,100.641786707244
1962-04-01,100.313129110302
1962-05-01,99.9815013413987
1962-06-01,99.6930826272243
1962-07-01,99.4946154814667
1962-08-01,99.3949145422671
1962-09-01,99.391702980397
1962-10-01,99.4708460867121
1962-11-01,99.6137177757834
1962-12-01,99.7855366148875
1963-01-01,99.95512403
1963-02-01,100.102096370514
1963-03-01,100.218062115928
1963-04-01,100.299148163881
1963-05-01,100.329736735603
1963-06-01,100.309694019479
1963-07-01,100.261129627831
1963-08-01,100.211079771352
1963-09-01,100.183894460821
1963-10-01,100.175331490676
1963-11-01,100.180390911968
1963-12-01,100.212810430273
1964-01-01,100.283978568108
1964-02-01,100.370516062528
1964-03-01,100.465725663562
1964-04-01,100.559682493612
1964-05-01,100.645583579965
1964-06-01,100.722778789466
1964-07-01,100.786973244626
1964-08-01,100.829572716528
1964-09-01,100.872015905514
1964-10-01,100.920117339966
1964-11-01,100.990532353556
1964-12-01,101.074839694189
1965-01-01,101.149510620351
1965-02-01,101.193981640371
1965-03-01,101.195726295055
1965-04-01,101.151088690594
1965-05-01,101.078684776654
1965-06-01,101.011636370409
1965-07-01,100.987736998063
1965-08-01,101.026773478578
1965-09-01,101.13545351522
1965-10-01,101.30194072208
1965-11-01,101.499150449017
1965-12-01,101.687868525172
1966-01-01,101.821089662683
1966-02-01,101.852044009091
1966-03-01,101.755265378272
1966-04-01,101.533443295736
1966-05-01,101.211854980244
1966-06-01,100.852253208818
1966-07-01,100.484382738322
1966-08-01,100.128079615968
1966-09-01,99.7881652971565
1966-10-01,99.4591389816554
1966-11-01,99.1543556717426
1966-12-01,98.8945181487202
1967-01-01,98.7046576320325
1967-02-01,98.602830961764
1967-03-01,98.6196490215514
1967-04-01,98.7589271946642
1967-05-01,99.0072035902088
1967-06-01,99.3171673871721
1967-07-01,99.6491591296787
1967-08-01,99.9692224318272
1967-09-01,100.244920765167
1967-10-01,100.464266204504
1967-11-01,100.622844006507
1967-12-01,100.721988583725
1968-01-01,100.758009585753
1968-02-01,100.761443437325
1968-03-01,100.753260960724
1968-04-01,100.745837759859
1968-05-01,100.747495518242
1968-06-01,100.772219237233
1968-07-01,100.833735888855
1968-08-01,100.943621696567
1968-09-01,101.10178208432
1968-10-01,101.259304047488
1968-11-01,101.358386484873
1968-12-01,101.378653446507
1969-01-01,101.32485844014
1969-02-01,101.205352926417
1969-03-01,101.029833661897
1969-04-01,100.799819835696
1969-05-01,100.520682311186
1969-06-01,100.237714878895
1969-07-01,99.9868601483913
1969-08-01,99.7775470423799
1969-09-01,99.5865845641047
1969-10-01,99.3788257938742
1969-11-01,99.1346446328099
1969-12-01,98.8500652138014
1970-01-01,98.5338310613626
1970-02-01,98.2207543686105
1970-03-01,97.9412538859258
1970-04-01,97.7216565486318
1970-05-01,97.5911063010094
1970-06-01,97.5411873827573
1970-07-01,97.5425140046821
1970-08-01,97.5863709325877
1970-09-01,97.6910543427946
1970-10-01,97.8890369078019
1970-11-01,98.2185609843427
1970-12-01,98.6709900433597
1971-01-01,99.163503260244
1971-02-01,99.603316674123
1971-03-01,99.9318549263576
1971-04-01,100.145557382391
1971-05-01,100.255204406002
1971-06-01,100.293532211592
1971-07-01,100.302067764616
1971-08-01,100.325422334606
1971-09-01,100.409700287716
1971-10-01,100.588767733399
1971-11-01,100.87643126316
1971-12-01,101.253777419278
1972-01-01,101.649027409651
1972-02-01,102.001975116081
1972-03-01,102.278139801028
1972-04-01,102.481509519926
1972-05-01,102.637581955107
